a10,id_lote_g6,g7_1,g10_1,g10_2,g10_3,g10_4,g10_5,g10_c_1,g10_c_2,g10_c_3,g10_c_4,g10_c_5,g9_1,g9_2,g9_3,g9_4,g9_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,K2O_1,K2O_2,K2O_3,K2O_4,K2O_5,Ntotal_1,Ntotal_2,Ntotal_3,Ntotal_4,Ntotal_5,Namoniacal_1,Namoniacal_2,Namoniacal_3,Namoniacal_4,Namoniacal_5,Nnitrico_1,Nnitrico_2,Nnitrico_3,Nnitrico_4,Nnitrico_5,Nureico_1,Nureico_2,Nureico_3,Nureico_4,Nureico_5,P2O5_1,P2O5_2,P2O5_3,P2O5_4,P2O5_5,Tipo_Nivel_0_1,Tipo_Nivel_0_2,Tipo_Nivel_0_3,Tipo_Nivel_0_4,Tipo_Nivel_0_5,Tipo_Nivel_1_1,Tipo_Nivel_1_2,Tipo_Nivel_1_3,Tipo_Nivel_1_4,Tipo_Nivel_1_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,row,cantidad_litros_ha_1,cantidad_litros_ha_2,cantidad_litros_ha_3,cantidad_litros_ha_4,cantidad_litros_ha_5,cantidad_kilos_ha_1,cantidad_kilos_ha_2,cantidad_kilos_ha_3,cantidad_kilos_ha_4,cantidad_kilos_ha_5,ax_2,a11,a12,a12a,a13,f4_1,f5_1,_merge
MR9036,1,4,nitrabord,,,,,Nitrabor,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,15.4,,,,,1.3,,,,,14.1,,,,,0,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,4,,,,,,150,,,,,Buenavista,Tolima,PURIFICACIÓN,,73585043,Fedearroz ibis,29,Matched (3)
MR9037,1,1,181818,,,,,Triple 18,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,150,,,,,Palma larga parcela 13,Tolima,SALDAÑA,,73671013,Tana,1.5,Matched (3)
MR9037,1,2,18 18 18,,,,,Triple 18,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,150,,,,,Palma larga parcela 13,Tolima,SALDAÑA,,73671013,Tana,1.5,Matched (3)
MR9037,1,3,18 1818,urea,,,,Triple 18,Urea,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,0,,,,18,46,,,,7,0,,,,0,0,,,,11,46,,,,18,0,,,,Fertilizante edafico,Fertilizante edafico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizacion edafica,Fertilizacion edafica,,,,NUTRIMON,NUTRIMON,,,,3,,,,,,150,50,,,,Palma larga parcela 13,Tolima,SALDAÑA,,73671013,Tana,1.5,Matched (3)
MR9037,1,4,urea,,,,,Urea,,,,,1,,,,,1.5,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,75,,,,,Palma larga parcela 13,Tolima,SALDAÑA,,73671013,Tana,1.5,Matched (3)
MR9038,1,1,urea,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,50,,,,,parcela 12 Palma Larga,Tolima,SALDAÑA,,73671013,Cálida ,1,Matched (3)
MR9038,1,2,urea,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,50,,,,,parcela 12 Palma Larga,Tolima,SALDAÑA,,73671013,Cálida ,1,Matched (3)
MR9038,1,3,urea,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,3,,,,,,50,,,,,parcela 12 Palma Larga,Tolima,SALDAÑA,,73671013,Cálida ,1,Matched (3)
MR9038,1,4,urea,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,50,,,,,parcela 12 Palma Larga,Tolima,SALDAÑA,,73671013,Cálida ,1,Matched (3)
MR9039,1,1,fertibon fosforo,festinitrogeno,nitroxtend,siembra,startmag,Fertibom Fosforo,Ferti N Nitrogeno 27,NITRO XTEND® 46 N,Ferticrop Arroz Siembra,STAR MAG,1,2,3,4,5,1,1,1,1,1,Bultos,Bultos,Bultos,Bultos,Bultos,,,,,,50,50,50,50,50,.5600000000000001,,,,,.54,,,,,0,,,,,0,,,,,0,,,,,13.35,,,,,Fertilizante edafico,,,,,Fertilizante organico,,,,,Compost,,,,,Fertilizacion edafica,,,,,WALCO AGRO,,,,,1,,,,,,50,50,50,50,50,San Martin,Tolima,SALDAÑA,,73671014,Tana,2,Matched (3)
